El Morrocco	Prank Wilson	E and Jackson

Esquire Bar	L. H. Schway	120 South 2nd

Foreign Club	Walter Argyle	111 North 1st

Golden Camel Bar	Joe H. Morgan	110 North 1st

Golden Nugget	Guy McAfee	2nd and Fremont

Fremont Tavern Inc.	James Fare	105 South 1st

Las Vegas Tavern	J. K. Houssells	19 Fremont

Lido Bar	Anna Mae Weller 	107 North 1st

Log Cabin Bar	C. C. Griggs, Jr.	122 North 1st

Mandalay Bar	W. E. Greene	111 Fremont

Monte Carlo Club	M. H. Rosenthal	15 Fremont

Nevada Bar	D. H. Hall	115 First, North

Nevada Biltmore	G. E. Kinsey	600 North Main

Overland Bar	J. K. Houssells	2 Fremont

Pioneer Cocktail Lounge	M. B. Page	25 Fremont

Recreation Tavern	Herb Ward	123 South 2nd

Rex Bar	Mrs. Petitti	124 South 1st

Sal Sagev Tavern	J. K. Houssells	1 Fremont

Tivoli Tavern	J. B. Gaut	126 North 1st

RETAIL & RETAIL RESTAURANT BEVERAGE

Apache Bar (Beverage)	P. O. Silvagni	2nd & Fremont

Ball Grocery	&	Market	L.	E.	Ball	404	So. 2nd

Barney's 5th	Street	Grocery	B.	Zigtema	630	So. 5th

Betty's Cafe	L.	J.	Grossman	1039 So. Main

Bill's Lunch	O.	H.	Hillman	217	No. Main

B. & H. Grocery	Sam Lafer	402 W. Bonanza

Boulder Club	A. H. Stevenson, Jr.	118-20-22 Fremont

Brown Derby	P. L. Jeffers	320 Monroe

Charleston Grocery	A. R. Stowell	19 W. Charleston

Dick's Bar	Richard D. Gard	118 No. 1st

Doc's	E. M. Ladd	1200 So. Main

Do Drop Inn	Jake Ensley	1315 Jackson

Frontier Club	Guy McAfee	117 E. Fremont

Golden Nugget	Guy McAfee	2nd & Fremont

House of Murphy	E. Stephenson	1409 So. 5th

Jimmie's Bar	O. L. Christiernsson	807 So. Main

John's Desert Inn	John Anton	1503 So. 5th

Las Vegas Club	J. K. Houssells	23 Fremont

Lee's Drive Inn	Lee Mitchell	10th & Fremont

Mae's First Street Grocery	Mae N. Askew	631 So. 1st

Mom's Lunch	Phyllis Helm	1400 Fremont

Oklahoma Cafe	Ina Marie Ensley	221 No. 1st

Orton's Grill	V. P. Orton	121 So. 5th

Pearl's Cafe	Paralee Adams	224 No. 1st

Pioneer Beverage Bar	M. B. Page	25 Fremont

Safeway Stores Inc.	Kenneth Tinsley	122-24 So. 2nd

Sam's Cafe	John Katsaros	320 Fremont

Sewell's Store	A. H. Imming	3rd & Fremont

Sill's	Orpha Sill Miller	5th & Charleston

Shamrock Cafe	Paul E. Bommer	1501 So. 5th

Smith's Drive Inn	W. C. Askew	331 Stewart

State Cafe	M. C. Kress	20 Fremont

Standard Grocery	Blaine Johnson	602 So. 5th

Spic N Span Jr.	Morton Gondring	124½ No. 1st

Tip's Cafe	E. T. Rowe	1516 So. 5th

Town Barbecue	E. D. Ciliax	506 Fremont

Tommy's	Cy Adams	407 Fremont

Thrifty Market	Gus Klein	So. Main & Charleston

Virginia's Cafe	Virginia Barrett	917 Fremont

Westside Tavern	Johnnie Chewning	206 Wilson

White Spot Cafe	J. S. Pappas	109 Fremont

Wimpy's	Orpha Sill Miller	210 Fremont

WHOLESALE LIQUOR-BEVERAGE & IMPORTER'S

Coca-Cola Bottling Co.	E. O. Underhill	424 No. Main

DeLuca Importing Co.	J. DeLuca	723 No. Main

Las Vegas Distributing Co.	Jerry Masek	506 So. Main

Nevada Beverage Co.	Pat Clark	1212-16 So. 3rd

Roach Distributing Co.	Jack R. Roach	828 So. Main

SEALED PACKAGE LIQUOR (MINA.)

Boulder Liquor Store	Louis R. Schway	423 Fremont

Cork N'Bottle	E. Pizinger	508 Fremont

Cut Rate Liquor Store	Josie Dondich	132 So. 5th

Ethel's #1	Ethel Rapoport	28 Fremont

Ethel's #2	Ethel Rapoport	409 Fremont

Fred's Liquor Store	Fred Kennedy	201 Bridger

Las Vegas Liquor Store	C. M. Travis	812 Fremont

Mike's Liquor Store	S. J. Gordon	106 Fremont

Overland Liquor Store	J. K. Houssells	6 Fremont

Southwestern Liquor Store	P. E. Brown (New Owner)	1st & Carson
