			563
KATY DID	Vegas Enterprises Co.	113 No. 1st	2 slots
KEYHOLE BAR	John A & Terry Harrell	13 Fremont	4 slots
KLEINS THRIFTY MARKET	Mark J. Klein	1054 So Main	3 slots
L & W CAFE	Robt & Linn Wilson	18 Garces	3 slots
L & W CAFE	Tom Rolofson	18 Garces	1 slot
JOHNIE LANES RACE BOOK	Johnie Edgar Lane	115 No 1st	1 race horse
			book
LARRYS MARKET	Jesse T. Howard	631 So 1st	2 slots
LAS VEGAS CLUB	L. B. Scherer, A. F. Schellang 18 Fremont		209 slots
		18 Fremont	1 "21"  1 craps
 LAS VEGAS CLUB BINGO	Milton Prell, Las Vegas Club		1 bingo 205 chars
			
1 LAS VEGAS LIQUOR STORE	Alfred Lindgren	812 E Fremont	3 slots
 LAS VEGAS PHARMACY	W.E. Ferron, F.A. Jackson	32 Fremont	4 slots
LAS VEGAS RACE BOOK	John George Georgacakis	126 No. 1st	1 race horse
			book
LIDO BAR	Anna Mae Weller	107 No. 1st	4 slots
LIDO BAR	P.J. & John Buckley	107 No. 1st	1 slot
LINCOLN MARKET	Vaughn K. Leavitt	1502 So. 5th	3 slots
 LITTLE CASINO	O.W. Glenn	110 No. 1st	3 slots
 LITTLE CASINO	Alfred John Quodback	110 No. 1st	1 "21"  1 crap 1 roulette
THE LITTLE KITCHEN	Del Barkhuff	1608 Fremont	1 slot
LOG CABIN	P.J. & John Buckley	122 No. 1st	1 slot
LOG CABIN BAR	Albert 8c David Mengarelli	122 No. 1st	2 slots
MAIN LIQUOR STORE CO.	Vegas Enterprises co.	418 No. 5th	5 slots
THE MARKET SPOT	H. Levy	117 Carson	4 slots
MAYFAIR LIQUOR STORE	Blaine Beckwith	1418 Fremont	5 slots
MIKES 5TH ST. MKT	F. Anthony Messina	630 So. 5th	3 slots
MIKES LIQUOR STORE	Alfred Ripps	106 Fremont	13 slots
MODERN MARKET	J.A. Gordon, L.D. Stein	121 No. 5th	3 slots
MONTE CARLO, INC.	Fred Soly, Wm. Leach, John J.		120 slots
	McMahon	15 Fremont	2 craps 2 "21"
			1 roulette
NEW VEGAS LANES	Frank Mirabelli	125 So. 2nd	3 slots
NEW YORKER	Vegas Enterprises Co.	115 So. 1st	1 slot
0 BRIENS LIQUOR STORE	Cardinal, Sullivan 8c O'Brien	1311 E Charleston	7 slots
ORANGE RUFUS CO	Pat Rozzelle	409 Fremont	12 slots
OVERLAND HOTEL	Porter Hotels System	#1 No Main	2 slots
PALACE BARBECUE	Kroloff Distributing Co.	210 So. 2nd	2 slots
PARK MARKET	Albert Goot	424 No. 5th	5 slots
PAYLESS DRUG STORES	Vegas Enterprises co.	215 Fremont	12 slots
PAYLESS LIQUOR STORE	Joseph Nosanchuck	1509 Fremont	4 slots
PEPPERS 5₵ & 10₵ STORE	P.J. & John Buckley	2224 E Charleston	1 slot
PHILLIPS TEXACO SERVICE	George W. Phillips	901 So. 5th	3 slots
PIONEER CLUB	William Curland	25 Fremont	98 slots
			2 poker 1 race horse keno  4 "21"
			3 craps 2 roulette
PIONEER COCKTAIL LOUNGE	William Curland	25 Fremont	5 slots
PLAYLAND ARCADE	George G. Parry	129 So. 1st	41 slots
PLAYLAND BAR	George G. Parry	131 So. 1st	5 slots
PRIME MEATS & PROVISION CO.	John C. Wollenzien 8c Allison C. Wendelboe	820 So. 5th	5 slots
RANCHO ANITA MOTEL	P.J.Skinner, Louis Larson	2121 So. 5th	3 slots
RED & WHITE CAFE	R.C. Brodine, Jr.	801 So. 1st	3 slots
RICHFIELD TRUCK TERMINAL	Del Barkhuff	629 So Main	4 slots
RINGSIDE LIQUOR STORE	Del Barkhuff	1516 So. 5th	6 slots
ROUND UP LIQUOR STORE	Round Up, Inc.	So. 5th at Main	5 slots
ROUND UP DRIVE IN	Round Up, Inc.	So. 5th at Main	6 slots
SALLIE'S LIQUOR STORE & BAR	M.H. & Sallie J. Gordon	2120 E Charleston	4 slots
SAL SAGEV TAVERN	J. Kell Houssels	1 Fremont	6 slots
SAV ON LIQUOR STORE	Sam Don	504 No. Main	4 slots
SAVOY CAFE 	D. T. Shea	624 So 5th	3 slots
SEL EX COFFEE SHOP	Irving I. Gelsin	209 No. Main	3 slots
SHAMROCK HOTEL	Western Land 8c Development	600 No. Main	2 "21"
V SHAMROCK HOTEL	Vegas Enterprises Co.	614 No. Main	8 slots
SIGNAL SUPER SERVICE	Lloyd E. Clark	2102 So. 5th	3 slots
SILLS	Miller, Sill & Christian	1002 So. 5th 	9 slots
SILLS TELL N TOTE	Miller, Sill 8c Christian	4th & Charleston	3 slots
SILVER CAFE	N. G.Wing	106 No. 1st	5 slots
SPORTS LIQUOR STORE	Vegas Enterprises Co.	419 No Main	3 slots
STEWARTS MARKET	S. Grant Stewart 	2021 Stewart	3 slots
SUES LIQUOR STORE	Tom Rolofson	1232 So. 5th	5 slots
SUNDOWN LIQUORS	O.W. Glenn	218 No Main	3 slots
SUNSET LIQUOR STORE	Del Barkhuff	1027 So Main	1 slot
SUNSET LIQUOR STORE	Paul D Otto 8c Keith Richards	1027-29 So Main	5 slots
SWINGING DOOR SALOON	Jack Gilson	111 No 1st	5 slots
SWISS VILLAGE RESTAURANT	Marion R. Walfinger	116 No. 5th	3 slots
TASTY PASTRY	P.J.& John Buckley	2226 E. Charleston	2 slots
TATUMS BARBECUE	Kroloff Distributing Co.	410 Bonanza Road	2 slots
THRIFTY DRUG STORE	Thrifty Drug Stores, Inc.	317 Fremont	10 slots
TURF CAFE	Del Barkhuff	1516 So. 5th	1 slot
TWIN LAKES CORPORATION	Lloyd L. St. John	Twin Lakes Lodge	2 slots
VIRGINIAS CAFE	Virginia Barrett	927 Fremont	2 slots
THE WESTERNER	E. Giorgetti, H.O. Pepple	23 Fremont	107 slots
	& Andrew Fava		3 craps  3 "21"  1 roulette 1 race horse
			keno
